TimeStamp,LaunchTime
2021-01-12 17-47-14," 1499
"
2021-01-12 17-47-18," 1374
"
2021-01-12 17-47-22," 1363
"
2021-01-12 17-47-26," 1332
"
2021-01-12 17-47-30," 1228
"
2021-01-12 17-47-34," 1307
"
2021-01-12 17-47-38," 1325
"
2021-01-12 17-47-42," 1275
"
2021-01-12 17-47-46," 1338
"
2021-01-12 17-47-50," 1395
"
